airbnb_listing_id,ad_name,bairro,listing_type,number_of_bedrooms,number_of_bathrooms,number_of_guests,adr_mediano,adr_medio,n_diarias_observadas,number_of_reviews,star_rating,guest_satisfaction_overall,is_superhost,is_professional
1294888049767814989,APÊ 905 - Seu refúgio em Itapema,Não identificado,apartamento,2,2.0,6,,,,5,5.0,5,True,False
1257858606191312796,Conforto para sua família,Não identificado,apartamento,3,3.0,8,,,,0,,0,False,False
1277466598940323678,PentHouse 400m do mar,Não identificado,apartamento,5,6.0,12,,,,0,,0,False,False
803536972183670947,Casa 473/Temporada/Meia Praia,Meia Praia,casa,3,4.0,8,,,,0,,0,False,False
1286527456481279613,Seu Apto na Praia de Itapema. Ref.,Não identificado,apartamento,1,2.0,4,,,,0,,0,False,False
1315102040028552140,AP-29| Itapema/2Suítes/2Vagas,Meia Praia,apartamento,2,2.0,6,,,,0,,0,True,False
1285806311820946579,Apto Cores em Vida,Meia Praia,apartamento,2,2.0,6,,,,0,,0,False,False
1287711016779917885,Lindo apartamento em Meia Praia - 3 suítes,Meia Praia,apartamento,3,1.0,10,,,,0,,0,False,False
1044027740398185907,Apartamento Fantástico em Itapema SC,Meia Praia,apartamento,2,2.0,6,,,,2,5.0,5,False,False
27201205,"PE NA AREIA Prédio frente mar,  1 quadra koch sup.",Meia Praia,apartamento,3,2.0,10,605.0,697.6355546666666,75.0,56,4.880000114440918,4,True,False
51301217,APARTAMENTO NO CORAÇÃO DA MEIA PRAIA - 3 QUARTOS,Meia Praia,apartamento,3,2.0,8,399.0,523.5373134328358,67.0,29,4.789999961853027,4,False,False
1061599547963993327,Quarto frente ao mar,Não identificado,outros,1,1.0,2,,,,1,5.0,5,False,False
969590132322286465,Apto próximo à praia e comércio,Não identificado,apartamento,3,2.0,8,,,,2,4.5,4,False,False
1260870179197912734,recanto do gaúcho,Não identificado,casa,2,2.0,10,,,,0,,0,False,False
16644316,Apto com vista para o mar. A 10 metros da praia,Não identificado,apartamento,3,2.0,8,770.0,818.2388059701492,67.0,12,5.0,5,False,False
1217329665915906267,#053 Apto Meia Praia Itapema,Meia Praia,apartamento,3,2.0,9,,,,0,,0,False,False
1298114543513431789,Piso 5 Edif. Florida,Meia Praia,apartamento,3,2.0,8,,,,1,2.0,2,True,True
28960506,Res Neli Passos  - Ap. de Alto Padrão Itapema/SC,Não identificado,apartamento,0,0.0,8,,,,0,,0,False,False
53105307,"Ótimo apartamento, excelente localização, ar condicionado nos quartos e sala.",Não identificado,apartamento,3,2.0,6,,,,0,,0,False,False
1288426896350517271,Apartamento aluguel temporada,Não identificado,apartamento,4,3.0,10,,,,1,5.0,5,False,False
40814978,"Locaçao verão 1 suite +2D, em Meia Praia, itapema",Meia Praia,apartamento,3,2.0,6,,,,3,4.670000076293945,4,False,False
783430732452533853,"Itapema Meia Praia 236, frente para 1ªav",Meia Praia,apartamento,3,3.0,8,,,,0,,0,False,False
50795879,"Aconchegante, limpo apenas 250 metros do mar.",Não identificado,apartamento,2,2.0,5,,,,21,4.670000076293945,4,False,False
936216057908307884,Sobrado aconchegante 2 suítes 2 garagens 3 banheir,Não identificado,casa,2,2.0,8,392.0,382.29171318435755,179.0,12,4.920000076293945,4,True,False
29870406,Cobertura com wifi próxima ao mar e shopping Russi,Não identificado,apartamento,3,3.0,11,980.0,818.7767587155963,218.0,25,4.960000038146973,4,True,False
756343553290237088,Quarto Casal em Condomínio perto Praia Itapema/SC,Não identificado,outros,1,1.0,2,,,,12,5.0,5,False,False
22031263,Ótimo Apartamento 3 qtos Prédio de frente pro mar,Não identificado,apartamento,3,2.0,10,,,,10,4.599999904632568,4,False,False
54067586,Confortável e tranquilo,Não identificado,apartamento,3,3.0,6,,,,1,5.0,5,False,False
53133732,Prédio Frente Mar top até 6 hóspedes Rua 291,Não identificado,apartamento,2,2.0,6,673.0,793.5741626794259,209.0,10,5.0,5,False,True
1054383289433926274,Casa pra 12 pessoas Meia Praia,Meia Praia,casa,5,3.0,12,,,,0,,0,False,False
892662939259281401,Apartamento em itapema com 4 suítes!,Não identificado,apartamento,4,0.0,10,1500.0,1500.0,13.0,14,4.789999961853027,4,False,False
807898347637042057,Apartamento Pé na Areia FRENTe mar em Itapema/meia,Meia Praia,apartamento,3,2.0,7,430.0,395.0,16.0,11,5.0,5,True,False
802357806571870530,Koeche Family,Não identificado,apartamento,3,3.0,6,680.0,667.9078947368421,114.0,23,4.909999847412109,4,True,False
54068640,Alto Padrão em Meia Praia - Itapema!,Meia Praia,apartamento,2,2.0,6,,,,6,4.829999923706055,4,False,False
47332563,Morada Andorinha no Bairro Ilhota em Itapema SC,Andorinha,apartamento,1,1.0,4,,,,42,4.980000019073486,4,True,False
1251590675610309191,Apartamento próximo ao mar,Não identificado,apartamento,3,2.0,8,,,,0,,0,False,False
1034687416607074951,Apartamento Garden piscina exclusiva e varanda,Não identificado,apartamento,3,3.0,6,,,,2,5.0,5,False,False
